id,smiles,inchikey
Z436195826,Cc1cccc(Oc2ccc(NC(=O)C(=O)NCCCn3ccnc3)cc2)c1,MLYWZRBRPAHQBO-UHFFFAOYSA-N
Z1376073821,O=C(c1cnc(-c2ccccn2)s1)N(CC(F)F)c1cccc(Cl)c1,WIFONCXESUVWEE-UHFFFAOYSA-N
Z1515426001,CCOc1ncccc1NC(=O)c1ccc(OC)c(-c2ccccn2)c1,XXIJGHFLOLSJJT-UHFFFAOYSA-N
Z1329852432,COc1ccc(-c2cc(C(=O)Nc3ccc(C(N)=O)cc3F)sc2C)cc1,AOWQWGUOEUTZJK-UHFFFAOYSA-N
Z1367247456,Cc1cc(C)c(NC(=O)c2ccc3ccc(Cl)cc3n2)c(C)n1,RYNNKFWOAUIFGP-UHFFFAOYSA-N
Z1466202595,Cc1ccc(OCC(=O)N(C)c2ncccc2F)c(C)c1,GJWYVMUGDFRTSG-UHFFFAOYSA-N
Z1517452290,O=C(Nc1ccc(-n2cncn2)c(C(F)(F)F)c1)c1cccc(-n2ccnn2)c1,CEFKLHAQROTVNG-UHFFFAOYSA-N
Z740049806,CCOC(=O)CN(C(=O)c1cnc(-c2ccccc2)s1)c1ccccc1F,HRGOEKDZQGVCNY-UHFFFAOYSA-N
Z1323795622,Cc1cc(=O)n(C)cc1NC(=O)c1cc2cc(Cl)ccc2o1,ZMYUPNWJGRGIDW-UHFFFAOYSA-N
Z1262304744,COCCN(C(=O)c1cc(-c2ccc(C)cc2)no1)c1ccc(C#N)cc1,VDEKTRPJDRQIFN-UHFFFAOYSA-N
Z1173009231,Cc1ccc(-c2nc(C)c(C(=O)Nc3ccc(C#N)cn3)s2)c(C)c1,PEFABMCFJNIBKE-UHFFFAOYSA-N
Z1781205350,CC(C)c1nnc2ccc(NC(=O)c3cccnc3)cn12,VJHJQXSUZLSLSW-UHFFFAOYSA-N
Z1335513741,CN1C(=O)CN(C(=O)c2ccc(-n3cccc3)c(F)c2)c2ccccc21,DVMVTJDWDMCTNP-UHFFFAOYSA-N
Z1262344233,Cc1nc(-c2ccccc2)oc1C(=O)Nc1ccc(N(C)C)nc1,VMQRMBOABHZYCU-UHFFFAOYSA-N
Z1231048321,O=C(Nc1ccc(F)cc1F)c1cc(-n2cccn2)ccn1,HVICUYSJHZTWDN-UHFFFAOYSA-N
Z1868658797,COc1ccccc1N1C(=O)CN(Cc2cccc(Br)c2)C1=O,QLUGBRWDOLANIO-UHFFFAOYSA-N
Z1504219714,CC(=O)Nc1ccc(OCc2ccn(-c3c(F)cccc3F)n2)cc1,LXCUFJWQXMXZOE-UHFFFAOYSA-N
Z1365459760,Cc1nc(C(=O)N(C)c2cc(Cl)ccc2C#N)nn1-c1ccc(Cl)cc1,FUJBEUCMIBWRKL-UHFFFAOYSA-N
